Added,URL,ListedPrice,Year,Make,Model,Trim,Body,Mileage,ManualTF,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,AccidentsTF,Owners,Rental Use?,Fleet Use?,Age,Country
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314995513/NONE,10995,2014,FIAT,500,GQ Edition,Convertible,35445,TRUE,FWD,Gas,160,1.4,I4,31,TX,No,FALSE,5,No,No,7,Italy
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=312945361/NONE,24000,2017,FIAT,124 Spider Lusso,,Convertible,25637,TRUE,RWD,Gas,160,1.4,I4,30,TX,No,FALSE,3,No,No,4,Italy
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=313857259/NONE,9998,2010,Ford,Mustang,,Convertible,134690,FALSE,RWD,Gas,210,4,V6,20,TX,No,TRUE,7,Yes,No,11,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=310730255/NONE,14999,2002,Ford,Thunderbird,Deluxe,Convertible,61031,FALSE,RWD,Gas,252,3.9,V8,18,TX,No,FALSE,3,No,No,19,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=308136578/NONE,8800,2009,INFINITI,G37,,Convertible,133112,FALSE,RWD,Gas,325,3.7,V6,21,TX,No,TRUE,3,No,No,12,Japan
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=312585283/NONE,21951,2013,INFINITI,G37,,Convertible,46326,FALSE,RWD,Gas,325,3.7,V6,21,TX,No,FALSE,2,No,No,8,Japan
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=313836759/NONE,11595,2000,Jaguar,XK-Series,XK8,Convertible,84168,FALSE,RWD,Gas,290,4,V8,18,TX,No,TRUE,6,No,No,21,United Kingdom
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=315077365/NONE,22998,2007,Jaguar,XK-Series,XK,Convertible,43102,FALSE,RWD,Gas,300,4.2,V8,20,TX,No,FALSE,2,No,No,14,United Kingdom
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314368549/NONE,14000,2010,Lexus,IS 250C,,Convertible,74000,FALSE,RWD,Gas,204,2.5,V6,25,TX,No,TRUE,3,No,Yes,11,Japan
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=296879014/NONE,11995,2004,Lexus,SC 430,,Convertible,134426,FALSE,RWD,Gas,300,4.3,V8,19,TX,No,TRUE,3,No,No,17,Japan
