Added,URL, Price ,Year,Make,Model,Trim,Body,Mileage,Man0Auto1,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,Accidents?,Owners,Rental Use?,Fleet Use?
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314433292/NONE," $12,995 ",1984,Alfa Romeo,Spider,Veloce,Convertible,"69,847",0,RWD,Gas,111,2,I4,,TX,No,No,1,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=313420595/NONE," $19,995 ",2011,Audi,A5,2.0T Premium Plus,Convertible,"50,340",1,FWD,Gas,211,2,I4,26,TX,No,No,2,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314413060/NONE," $19,991 ",2013,BMW,3 Series,335i,Convertible,"80,758",1,RWD,Gas,300,3,I6,22,TX,No,No,1,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=310564746/NONE," $12,499 ",2011,BMW,3 Series,328i,Convertible,"71,300",1,RWD,Gas,230,3,I6,22,TX,No,No,6,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314458022/NONE," $20,000 ",2005,BMW,3 Series,M3,Convertible,"75,020",0,RWD,Gas,333,3.2,I6,17,TX,No,No,2,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=308976361/NONE," $11,991 ",2003,BMW,Z4,2.5i,Convertible/Roadster,"40,508",1,RWD,Gas,184,2.5,I6,22,TX,No,No,4,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312953491/NONE," $19,999 ",2006,BMW,3 Series,M3,Convertible,"151,543",0,RWD,Gas,333,3.2,I6,17,TX,No,2,4,No,Yes
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314368549/NONE," $14,000 ",2010,Lexus,IS 250C,,Convertible,"74,000",1,RWD,Gas,204,2.5,V6,25,TX,No,1,3,No,Yes
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312181210/NONE," $15,395 ",2012,Nissan,370Z,,Convertible/Roadster,"101,100",1,RWD,Gas,332,3.7,V6,21,TX,No,No,3,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314006871/NONE," $11,900 ",2013,Chrysler,200,S,Convertible,"37,343",1,FWD,Flex,283,3.6,V6,24,TX,No,No,3,No,No
